item_id,name,value
197,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
198,Theme,14. Water & Oevers
198,Area,Centrum
198,Type,Advies
198,Level,Operationeel Niveau
198,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
199,Theme,14. Water & Oevers
199,Area,Centrum
199,Type,Advies
199,Level,Operationeel Niveau
199,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
200,Theme,14. Water & Oevers
200,Area,Centrum
200,Type,Advies
200,Level,Operationeel Niveau
200,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
201,Theme,10. Straatmeubilair
201,Area,Centrum
201,Type,Advies
201,Level,Operationeel Niveau
201,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
202,Theme,10. Straatmeubilair
202,Area,Centrum
202,Type,Advies
202,Level,Operationeel Niveau
202,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
203,Theme,10. Straatmeubilair
203,Area,Centrum
203,Type,Advies
203,Level,Operationeel Niveau
203,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
204,Theme,10. Straatmeubilair
204,Area,Centrum
204,Type,Advies
204,Level,Operationeel Niveau
204,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
205,Theme,10. Straatmeubilair
205,Area,Centrum
205,Type,Advies
205,Level,Operationeel Niveau
205,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
206,Theme,10. Straatmeubilair
206,Area,Centrum
206,Type,Advies
206,Level,Operationeel Niveau
206,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
207,Theme,10. Straatmeubilair
207,Area,Centrum
207,Type,Advies
207,Level,Operationeel Niveau
207,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
208,Theme,10. Straatmeubilair
208,Area,Centrum
208,Type,Advies
208,Level,Operationeel Niveau
208,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
209,Theme,13. Sport & Spel
209,Theme,9. Verhardingen
209,Area,Heel Amsterdam
209,Type,Uitgangspunt
209,Level,Operationeel Niveau
209,Source,Handboek Hardlooproutes (2016)
210,Theme,12. Groen
210,Area,Nieuw-West
210,Type,Ambitie
210,Level,Strategisch Niveau
210,Source,Groenvisie Nieuw-West (2012)
211,Theme,12. Groen
211,Area,Nieuw-West
211,Type,Uitgangspunt
211,Level,Tactisch Niveau
211,Source,Groenvisie Nieuw-West (2012)
212,Theme,12. Groen
212,Area,Nieuw-West
212,Type,Uitgangspunt
212,Level,Tactisch Niveau
212,Source,Groenvisie Nieuw-West (2012)
213,Theme,12. Groen
213,Area,Nieuw-West
