item_id,name,value
57,SourceLink,Visie Groen en Blauw Amsterdam Oud-Zuid 2020 (2006)
58,Image,Visie Groen en Blauw Amsterdam Oud-Zuid 2020 - Ontbrekende schakels en verbetering inrichting.jpg
58,SourceLink,Visie Groen en Blauw Amsterdam Oud-Zuid 2020 (2006)
59,Image,Visie Groen en Blauw Amsterdam Oud-Zuid 2020 - wensbeeld.jpg
59,SourceLink,Visie Groen en Blauw Amsterdam Oud-Zuid 2020 (2006)
60,Image,werkzaamheden 1 (v).jpg
60,Image,werkzaamheden 3 (v).jpg
60,Image,werkzaamheden 8 (v).jpg
60,Image,werkzaamheden 4 (v).jpg
60,SourceLink,Verordening WIOR (2021)
61,Image,bretten 3 (v).jpg
61,SourceLink,Verordening TAC (2013)
62,Image,Voetganger 4 (v).jpg
62,Image,Fiets 1 (v).jpg
62,Image,OV 2 (v).jpg
62,SourceLink,Uitvoeringsagenda Mobiliteit (2015)
63,Image,stadsstraat 1 (v).jpg
63,Image,stadsstraat 2 (v).jpg
63,Image,stadsstraat 3 (v).jpg
63,Link,Onderzoeksrapport Stadsstraten Amsterdam (2017).pdf
63,SourceLink,Uitvoeringsagenda Mobiliteit (2015)
64,SourceLink,Uitvoeringsagenda Mobiliteit (2015)
65,SourceLink,Uitvoeringsagenda Mobiliteit (2015)
66,SourceLink,Uitvoeringsagenda Mobiliteit (2015)
67,Image,container 1 (v).jpg
67,Image,container 2 (v).jpg
67,SourceLink,Stedelijk kader locatiekeuze inzamelvoorzieningen (2017)
68,Image,container 1 (v).jpg
68,Image,container 2 (v).jpg
68,Link,Standaard vooraanzicht inwerpzuil.pdf
68,SourceLink,Stedelijk kader locatiekeuze inzamelvoorzieningen (2017)
69,Image,container 5 (v).jpg
69,Image,container 3 (v).jpg
69,Image,container 4 (v).jpg
69,Link,Standaard vooraanzicht inwerpzuil.pdf
69,SourceLink,Stedelijk kader locatiekeuze inzamelvoorzieningen (2017)
70,Image,grofvuil 1 (v).jpg
70,Image,grofvuil 2 (v).jpg
70,Image,grofvuil 3 (v).jpg
70,Link,Standaard vooraanzicht inwerpzuil.pdf
70,SourceLink,Stedelijk kader locatiekeuze inzamelvoorzieningen (2017)
71,Link,Standaard vooraanzicht inwerpzuil.pdf
71,SourceLink,Stedelijk kader locatiekeuze inzamelvoorzieningen (2017)
72,SourceLink,Beleidskader Buitenreclame (2020)
73,SourceLink,Beleidskader Buitenreclame (2020)
74,SourceLink,Beleidskader Buitenreclame (2020)
75,SourceLink,Beleidskader Buitenreclame (2020)
76,SourceLink,Beleidskader Buitenreclame (2020)
77,SourceLink,Beleidskader Buitenreclame (2020)
78,SourceLink,Beleidskader Buitenreclame (2020)
79,Image,Buitenreclame - bouwbord.jpg
79,SourceLink,Beleidskader Buitenreclame (2020)
80,SourceLink,Beleidskader Buitenreclame (2020)
81,Image,Stedelijk kader Buitenreclame - kaart reclamezones.jpg
81,SourceLink,Beleidskader Buitenreclame (2020)
82,Image,Stedelijk kader Buitenreclame - kaart reclamezones.jpg
82,SourceLink,Beleidskader Buitenreclame (2020)
83,Image,Stedelijk kader Buitenreclame - kaart reclamezones.jpg
83,SourceLink,Beleidskader Buitenreclame (2020)
84,Image,Stedelijk kader Buitenreclame - kaart reclamezones.jpg
84,SourceLink,Beleidskader Buitenreclame (2020)
85,Image,Buitenreclame - mastreclame 01.jpg
85,Image,Buitenreclame - mastreclame 02.jpg
85,SourceLink,Beleidskader Buitenreclame (2020)
86,Image,abri 3 (v).jpg
86,Image,abri 2 (v).jpg
86,SourceLink,Beleidskader Buitenreclame (2020)
87,Image,mupi 2 (v).jpg
87,Image,mupi 3 (v).jpg
87,SourceLink,Beleidskader Buitenreclame (2020)
